timestamp,device_id,cpu_temp,ram_usage,disk_io_errors,vibration_level,failure_event,label
2026-08-01 00:00:00,SRV-001,51.38,54.45,0,0.201,0,0
2026-08-01 00:00:00,SRV-002,46.97,40.7,0,0.333,0,0
2026-08-01 00:00:00,SRV-003,52.58,48.07,0,0.244,0,0
2026-08-01 00:00:00,SRV-004,40.88,39.09,0,0.2,0,0
2026-08-01 00:00:00,SRV-005,46.49,40.42,0,0.212,0,0
2026-08-01 00:00:00,SRV-006,48.85,36.07,0,0.267,0,0
2026-08-01 00:00:00,SRV-007,48.37,42.83,1,0.342,0,0
2026-08-01 00:00:00,SRV-008,43.46,36.06,0,0.079,0,0
2026-08-01 00:00:00,SRV-009,46.94,52.59,0,0.277,0,0
2026-08-01 00:00:00,SRV-010,39.36,58.67,0,0.312,0,0
2026-08-01 00:05:00,SRV-001,52.03,50.3,0,0.18,0,0
2026-08-01 00:05:00,SRV-002,47.64,38.34,0,0.436,0,0
2026-08-01 00:05:00,SRV-003,55.65,46.08,0,0.279,0,0
2026-08-01 00:05:00,SRV-004,46.27,32.1,0,0.178,0,0
2026-08-01 00:05:00,SRV-005,41.01,40.61,0,0.169,0,0
2026-08-01 00:05:00,SRV-006,44.24,39.92,0,0.235,0,0
2026-08-01 00:05:00,SRV-007,44.9,49.31,0,0.228,0,0
2026-08-01 00:05:00,SRV-008,43.1,36.13,0,0.037,0,0
2026-08-01 00:05:00,SRV-009,46.71,38.44,0,0.331,0,0
2026-08-01 00:05:00,SRV-010,43.83,48.36,0,0.226,0,0
2026-08-01 00:10:00,SRV-001,50.22,51.07,1,0.067,0,0
2026-08-01 00:10:00,SRV-002,49.07,40.88,0,0.473,0,0
2026-08-01 00:10:00,SRV-003,53.34,46.61,0,0.352,0,0
2026-08-01 00:10:00,SRV-004,45.93,32.82,0,0.217,0,0
2026-08-01 00:10:00,SRV-005,42.27,46.14,0,0.34,0,0
2026-08-01 00:10:00,SRV-006,47.98,36.54,0,0.215,0,0
2026-08-01 00:10:00,SRV-007,47.39,51.23,0,0.223,0,0
2026-08-01 00:10:00,SRV-008,42.02,36.58,0,0.169,0,0
2026-08-01 00:10:00,SRV-009,46.74,45.12,0,0.21,0,0
2026-08-01 00:10:00,SRV-010,39.32,54.07,0,0.171,0,0
2026-08-01 00:15:00,SRV-001,53.96,51.76,0,0.0,0,0
2026-08-01 00:15:00,SRV-002,48.56,42.14,0,0.362,0,0
2026-08-01 00:15:00,SRV-003,56.66,44.69,0,0.219,0,0
2026-08-01 00:15:00,SRV-004,38.78,35.25,0,0.367,0,0
2026-08-01 00:15:00,SRV-005,42.51,47.51,0,0.234,0,0
2026-08-01 00:15:00,SRV-006,51.14,36.75,0,0.29,0,0
2026-08-01 00:15:00,SRV-007,40.98,53.66,0,0.385,0,0
2026-08-01 00:15:00,SRV-008,40.81,43.0,0,0.167,0,0
2026-08-01 00:15:00,SRV-009,42.59,43.67,0,0.253,0,0
2026-08-01 00:15:00,SRV-010,45.4,48.57,0,0.319,0,0
2026-08-01 00:20:00,SRV-001,53.74,58.19,0,0.102,0,0
2026-08-01 00:20:00,SRV-002,47.17,48.43,0,0.373,0,0
2026-08-01 00:20:00,SRV-003,51.99,44.79,0,0.228,0,0
2026-08-01 00:20:00,SRV-004,44.89,32.09,0,0.232,0,0
2026-08-01 00:20:00,SRV-005,48.73,35.37,0,0.259,0,0
2026-08-01 00:20:00,SRV-006,53.9,35.5,0,0.202,0,0
2026-08-01 00:20:00,SRV-007,49.04,49.83,0,0.349,0,0
2026-08-01 00:20:00,SRV-008,42.87,31.46,0,0.145,0,0
2026-08-01 00:20:00,SRV-009,47.81,42.59,1,0.154,0,0
2026-08-01 00:20:00,SRV-010,45.9,53.74,0,0.346,0,0
2026-08-01 00:25:00,SRV-001,52.2,52.3,0,0.312,0,0
2026-08-01 00:25:00,SRV-002,49.83,46.29,0,0.235,0,0
2026-08-01 00:25:00,SRV-003,51.62,46.35,0,0.269,0,0
2026-08-01 00:25:00,SRV-004,43.11,34.56,0,0.223,0,0
2026-08-01 00:25:00,SRV-005,42.81,41.84,0,0.202,0,0
2026-08-01 00:25:00,SRV-006,48.6,37.4,0,0.213,0,0
2026-08-01 00:25:00,SRV-007,46.55,55.56,0,0.296,0,0
2026-08-01 00:25:00,SRV-008,42.89,41.69,0,0.102,0,0
2026-08-01 00:25:00,SRV-009,45.9,45.71,0,0.206,0,0
2026-08-01 00:25:00,SRV-010,39.43,50.63,0,0.28,0,0
2026-08-01 00:30:00,SRV-001,54.49,47.12,0,0.315,0,0
2026-08-01 00:30:00,SRV-002,54.16,42.98,0,0.308,0,0
2026-08-01 00:30:00,SRV-003,54.4,46.14,0,0.293,0,0
2026-08-01 00:30:00,SRV-004,43.63,30.85,0,0.299,0,0
2026-08-01 00:30:00,SRV-005,40.53,36.99,0,0.323,0,0
2026-08-01 00:30:00,SRV-006,51.52,33.95,0,0.188,0,0
2026-08-01 00:30:00,SRV-007,46.13,43.77,0,0.295,0,0
2026-08-01 00:30:00,SRV-008,41.71,35.77,0,0.257,0,0
2026-08-01 00:30:00,SRV-009,43.39,52.76,0,0.239,0,0
2026-08-01 00:30:00,SRV-010,45.12,49.8,0,0.265,0,0
2026-08-01 00:35:00,SRV-001,53.07,47.28,0,0.148,0,0
2026-08-01 00:35:00,SRV-002,49.56,52.01,0,0.299,0,0
2026-08-01 00:35:00,SRV-003,53.25,46.54,0,0.34,0,0
2026-08-01 00:35:00,SRV-004,43.54,33.87,0,0.191,0,0
2026-08-01 00:35:00,SRV-005,41.83,41.26,0,0.196,0,0
2026-08-01 00:35:00,SRV-006,47.27,32.83,0,0.197,0,0
2026-08-01 00:35:00,SRV-007,43.87,47.71,0,0.237,0,0
2026-08-01 00:35:00,SRV-008,39.04,35.52,0,0.181,0,0
2026-08-01 00:35:00,SRV-009,46.94,40.14,0,0.332,0,0
2026-08-01 00:35:00,SRV-010,40.58,53.03,0,0.334,0,0
2026-08-01 00:40:00,SRV-001,50.21,52.74,0,0.093,0,0
2026-08-01 00:40:00,SRV-002,49.7,42.83,0,0.293,0,0
2026-08-01 00:40:00,SRV-003,54.28,48.39,0,0.241,0,0
2026-08-01 00:40:00,SRV-004,44.33,31.09,0,0.261,0,0
2026-08-01 00:40:00,SRV-005,46.14,34.79,0,0.221,0,0
2026-08-01 00:40:00,SRV-006,49.81,44.08,0,0.192,0,0
2026-08-01 00:40:00,SRV-007,43.57,51.81,0,0.341,0,0
2026-08-01 00:40:00,SRV-008,41.86,38.01,0,0.187,0,0
2026-08-01 00:40:00,SRV-009,47.19,41.71,0,0.225,0,0
2026-08-01 00:40:00,SRV-010,43.62,52.01,0,0.306,0,0
2026-08-01 00:45:00,SRV-001,52.86,47.55,0,0.191,0,0
2026-08-01 00:45:00,SRV-002,50.89,49.7,0,0.375,0,0
2026-08-01 00:45:00,SRV-003,53.82,50.59,0,0.223,0,0
2026-08-01 00:45:00,SRV-004,41.92,37.08,0,0.355,0,0
2026-08-01 00:45:00,SRV-005,43.04,40.68,0,0.259,0,0
2026-08-01 00:45:00,SRV-006,51.12,41.64,0,0.25,0,0
2026-08-01 00:45:00,SRV-007,45.68,42.59,0,0.245,0,0
2026-08-01 00:45:00,SRV-008,39.52,40.35,0,0.07,0,0
2026-08-01 00:45:00,SRV-009,47.47,45.43,0,0.234,0,0
2026-08-01 00:45:00,SRV-010,44.99,59.72,0,0.247,0,0
2026-08-01 00:50:00,SRV-001,49.99,45.78,0,0.203,0,0
2026-08-01 00:50:00,SRV-002,51.7,48.79,0,0.306,0,0
2026-08-01 00:50:00,SRV-003,52.91,44.82,0,0.226,0,0
2026-08-01 00:50:00,SRV-004,40.48,35.97,0,0.304,0,0
2026-08-01 00:50:00,SRV-005,42.62,46.45,0,0.289,0,0
2026-08-01 00:50:00,SRV-006,51.72,38.84,0,0.208,0,0
2026-08-01 00:50:00,SRV-007,49.29,46.91,0,0.296,0,0
